标题,智能体/应用,链接,分类
大圣教学｜多维表格新增单条记录,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7487796092587868210](https://www.coze.cn/space/7362748064240877602/bot/7487796092587868210),"[""多维表格""]"
大圣教学｜多维表格批量新增记录,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7487801021130375220](https://www.coze.cn/space/7362748064240877602/bot/7487801021130375220),"[""多维表格""]"
大圣教学｜中阶案例｜智能出题小助手,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7483905696728170496](https://www.coze.cn/space/7362748064240877602/bot/7483905696728170496),"[""中阶""]"
大圣教学｜Coze创建多维表格,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7484113992509243403](https://www.coze.cn/space/7362748064240877602/bot/7484113992509243403),"[""多维表格""]"
大圣教学｜写作工具箱,"[""应用""]",[https://www.coze.cn/space/7362748064240877602/project-ide/7468661339053899785](https://www.coze.cn/space/7362748064240877602/project-ide/7468661339053899785),
大圣教学｜领导力测评,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7486692558480048137](https://www.coze.cn/space/7362748064240877602/bot/7486692558480048137),
大圣教学｜代码节点复杂案例,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7486862233411026959](https://www.coze.cn/space/7362748064240877602/bot/7486862233411026959),"[""节点""]"
大圣教学｜Coze代码生成器,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7486409455572533302](https://www.coze.cn/space/7362748064240877602/bot/7486409455572533302),
大圣教学｜列表组件,"[""应用""]",[https://www.coze.cn/space/7362748064240877602/project-ide/7486422992868868159](https://www.coze.cn/space/7362748064240877602/project-ide/7486422992868868159),
大圣教学｜画板节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446143443342311460](https://www.coze.cn/space/7362748064240877602/bot/7446143443342311460),"[""节点""]"
大圣教学｜工作流调试 ,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7466667984115892236](https://www.coze.cn/space/7362748064240877602/bot/7466667984115892236),
大圣教学｜高阶案例｜酒店评论分析,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7484661889432354843](https://www.coze.cn/space/7362748064240877602/bot/7484661889432354843),"[""高阶""]"
大圣教学｜儿童绘本（二师兄）,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7456388814819360802](https://www.coze.cn/space/7362748064240877602/bot/7456388814819360802),
大圣教学｜问答节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7453647569525702666](https://www.coze.cn/space/7362748064240877602/bot/7453647569525702666),"[""节点""]"
大圣教学｜必应搜索助手,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7453483568229564470](https://www.coze.cn/space/7362748064240877602/bot/7453483568229564470),
