编号,您期望在捏bot活动中组队定位-其他-补...,您目前对于coze的熟悉程度,您期望在捏bot活动中组队定位,提交时间,"畅所欲言, 随便说~",请问您期望从Agent活动中获得什么？,提交人
1,,"[""捏过>=3个bot但不精通""]","[""我想负责工作流/工具""]",2024-05-22 19:03:56,行业和特定场景的coze最有吸引力,找到合作伙伴，共同推进对一些行业协会的合作，包括培训和定制,"[{""id"": ""ou_f4a7e5ca1673297b65ba7740b4a9738c"", ""name"": ""吴鹏""}]"
2,,"[""捏过<3个bot""]","[""我想负责工作流/工具""]",2024-05-23 10:30:20,非常感谢各位大佬搭建的这个平台，瞬间觉得找到了组织，看到有这么多同频的人，感觉很高兴，哈哈哈,希望能捏出更为完善的BOT，熟悉工作流和插件，并能够熟练掌握应用于教育的商业场景,"[{""id"": ""ou_e1af0b8610238de8106ebac5f3361941"", ""name"": ""黄业博""}]"
3,,"[""捏过>=3个bot但不精通""]","[""我想负责创意""]",2024-05-23 11:49:05,太感谢各位大佬的分享了～,进一步学习工作流、插件，可以捏出自己想要实现的较为复杂的bot。,"[{""id"": ""ou_366cf85a3b2d97df15040af47f18004d"", ""name"": ""CrayOn🖍️""}]"
4,,"[""捏过<3个bot""]","[""我想负责进度""]",2024-05-23 14:41:22,,以练促学，学以致用。 想和大家一起学习,"[{""id"": ""ou_725503f2e3bbb468ba8d1f3255f9e746"", ""name"": ""Mieko""}]"
5,,"[""捏过<3个bot""]","[""我想负责创意""]",2024-05-23 15:15:17,我是星河，我来了,一个有趣的共创经历,"[{""id"": ""ou_d245460a9d6ce0d1771f381f0ffc6119"", ""name"": ""星河""}]"
6,,"[""捏过<3个bot""]","[""我想负责工作流/工具""]",2024-05-23 16:15:48,踏实学习，一步一步来，找到学习路径。,能够落地实用的功能，和未来Agent能涉及的行业，从众多学习资料中找到学习路径。,"[{""id"": ""ou_313ceffa3f38a5a3ff5c8621afb2e5d7"", ""name"": ""dkx1982""}]"
7,,"[""完全小白""]","[""我想负责工作流/工具""]",2024-05-23 19:46:43,,学了很多理论，想真正上手捏bot,"[{""id"": ""ou_eb67a1bc88230ba8a0f5554a78ce1403"", ""name"": ""薛雯瑜""}]"
8,,"[""了解Coze的组件""]","[""我想负责创意""]",2024-05-23 21:55:17,,继续学习bot,"[{""id"": ""ou_29005a01d62cede6bfad372365ede0e0"", ""name"": ""Larkspur""}]"
9,,"[""完全小白""]","[""我想负责编程""]",2024-05-23 22:05:28,,感觉挺有趣,"[{""id"": ""ou_5143cee3117e5171d9ee0d5bae704843"", ""name"": ""小赖同学""}]"
10,,"[""捏过>=3个bot但不精通""]","[""我想负责创意""]",2024-05-23 22:05:32,特别好，想找个研发帮忙一起开发,共创探索，以后也可以分享,"[{""id"": ""ou_8e1b0b598cdf6a58833b43ba8fbd64c1"", ""name"": ""YoYo""}]"
11,,"[""完全小白""]","[""我想负责工作流/工具""]",2024-05-23 22:05:41,,搭建工作流,"[{""id"": ""ou_3de740dfe0d63bca2d09b1672cc421e8"", ""name"": ""田田""}]"
12,,"[""捏过>=3个bot但不精通""]","[""我想负责工作流/工具""]",2024-05-23 22:06:18,,更快,"[{""id"": ""ou_83974f5288b58dccbc4c8020e1f2f6f0"", ""name"": ""KITTY""}]"
13,,"[""完全小白""]","[""我想负责进度""]",2024-05-23 22:06:35,,以赛促学,"[{""id"": ""ou_76f5542ee6de96095582246cafe787b2"", ""name"": ""陈先森""}]"
14,,"[""捏过<3个bot""]","[""我想负责工作流/工具""]",2024-05-23 22:06:45,,团队合作，创意碰撞,"[{""id"": ""ou_f940ed96709d578c3b7e03576d9487aa"", ""name"": ""王一名""}]"
15,,"[""捏过>=3个bot但不精通""]","[""我想负责工作流/工具""]",2024-05-23 22:07:10,,认识朋友，交流 idea，学习进步,"[{""id"": ""ou_760254319e733db580e3ff95e6c4d7b6"", ""name"": ""柏易""}]"
16,,"[""捏过<3个bot""]","[""我想负责工作流/工具""]",2024-05-23 22:07:10,就想上手自己捏🤏,能够逐渐熟悉工作流的疏理与判断,"[{""id"": ""ou_03d9b4102d8ece4ee338ac6ff2c4214a"", ""name"": ""李桢""}]"
17,,"[""了解Coze的组件""]","[""我想负责创意""]",2024-05-23 22:08:21,,应用到工作中，做一些有趣的小游戏,"[{""id"": ""ou_2d290fd390cd063096e212b3bf6ce749"", ""name"": ""刘权""}]"
18,,"[""捏过>=3个bot但不精通""]","[""我想负责进度""]",2024-05-23 22:08:22,大家一起来捏Bot~,认识更多有爱好的小伙伴共同进步,"[{""id"": ""ou_26a4c637bfb5251eb79fc82d045ae4bc"", ""name"": ""朱俊""}]"
19,,"[""完全小白""]","[""我想负责编程""]",2024-05-23 22:09:20,,探索coze bot在工作的应用,"[{""id"": ""ou_33544e5049a686dccf7abfc5271a5cbd"", ""name"": ""邱新明""}]"
20,,"[""完全小白""]","[""其他""]",2024-05-23 22:13:16,如果可能，还是请分享的同学大约说明一下课程的内容，写清合适的入群。 兴高采烈的回绝朋友的饭局，想一起搓个小白机器人，结果却是程序员们的盛宴。感觉挺浪费自己时间的。眼见着近300人掉到了177人，蛮不是滋味的,连线搓一个小白bot,"[{""id"": ""ou_8b30456979b8c3db6fa5fe153ccc528e"", ""name"": ""成杰""}]"
21,,"[""了解Coze的组件""]","[""我想负责进度""]",2024-05-23 22:15:26,大家也太棒了！（星星眼✨）,对Agent感兴趣，希望和更多的人一起交流、学习、实践。,"[{""id"": ""ou_3744b9ea696020f22adbaf95c29af88f"", ""name"": ""丁雪""}]"
22,,"[""了解Coze的组件""]","[""我想负责创意""]",2024-05-23 22:21:07,,弄脏手,"[{""id"": ""ou_5752f82503cf204be8b3ed7e07d9e0eb"", ""name"": ""winbin""}]"
23,,"[""了解Coze的组件""]","[""我想负责创意""]",2024-05-23 22:22:10,,从零搭建起一个能够起到实质作用，非纯娱乐属性的coze应用,"[{""id"": ""ou_cd86caae5f5a6c398d2e9496e3986e4c"", ""name"": ""Lym""}]"
24,,"[""捏过>=3个bot但不精通""]","[""我想负责进度""]",2024-05-23 22:32:29,虽不懂编程，但善于利用工具，想与不同领域的伙伴组队，团队整合。,与智者同行，实践出真理，动手捏一遍，胜过看十遍，想让自己更加深度去参与Agent的搭建,"[{""id"": ""ou_327b992a1d88e6ca06dae1d9feec8b69"", ""name"": ""魏源""}]"
25,创意加prompt加工作流,"[""捏过>=3个bot但不精通""]","[""其他""]",2024-05-23 22:33:16,,成长,"[{""id"": ""ou_0af1b359fa505b7cdf6bb647b07b5789"", ""name"": ""陈泓业""}]"
26,,"[""捏过>=3个bot但不精通""]","[""我想负责工作流/工具""]",2024-05-23 22:33:33,还是希望能有比较好玩的案例能拿出来分享下,学习更多的玩的方式,"[{""id"": ""ou_ae35c1d69ece97cce99994ff4f6b4b26"", ""name"": ""马俊华""}]"
27,,"[""捏过>=3个bot但不精通""]","[""我想负责工作流/工具""]",2024-05-23 22:34:31,,交流学习，Agent手搓经验，团队协作,"[{""id"": ""ou_25cde48d5f25a2073e9954745fbf29cb"", ""name"": ""陈Sir""}]"
28,,"[""捏过>=3个bot但不精通""]","[""我想负责创意""]",2024-05-23 22:34:52,蛮好的活动，继续,独立做bot的能力，跟上AI发展的步伐,"[{""id"": ""ou_b885da9be1942fa0f9a39f0ae4feec8c"", ""name"": ""吴琪""}]"
29,,"[""捏过>=3个bot但不精通""]","[""我想负责进度""]",2024-05-23 22:35:05,一起成长,兴趣,"[{""id"": ""ou_ca5a9f16a17c1329c56e0c2ede35204e"", ""name"": ""郁健健""}]"
30,,"[""完全小白""]","[""我想负责工作流/工具""]",2024-05-23 22:39:10,,更好的学习agent,"[{""id"": ""ou_81f30e93f73027b347f5830531ca72a8"", ""name"": ""Drvicken""}]"
31,,"[""捏过>=3个bot但不精通""]","[""我想负责编程""]",2024-05-23 23:20:20,,程序员，熟悉 Python ，熟悉 coze 各个功能，希望实现有趣的东西,"[{""id"": ""ou_d9cea3201e89d1ef426b0d7e28d5f4b0"", ""name"": ""czm""}]"
32,不能编程，其他的都可参与,"[""了解Coze的组件""]","[""其他""]",2024-05-23 23:22:13,可能搭建的过程中会有，目前无,我想搭建一个属于自己公司的知识库，刚接触coze了解组件，原因想实践一下，并且根据大家的想法得到启发，最后给自己一个定位自己的知识水平，能搭出一个什么样的bot,"[{""id"": ""ou_69ff62802acf7927ee15d84fa6f6fa8e"", ""name"": ""zxc""}]"
33,,"[""精通捏coze bot的技术""]","[""我想负责创意""]",2024-05-23 23:22:59,,希望认识一群有想法有创意的朋友，一起做有意思的机器人,"[{""id"": ""ou_5bfb50efc43f2103baaa5e0bf4acdfca"", ""name"": ""许思寅""}]"
34,,"[""完全小白""]","[""其他""]",2024-05-23 23:24:46,制造业从业10年，转入管理咨询，目前关注中资企业出海。,学习Agenyt的构建逻辑和流程以及应用场景，希望和中国企业管理能关联。,"[{""id"": ""ou_8cd01565eb423cb433083c96fe0442de"", ""name"": ""WILL""}]"
35,,"[""了解Coze的组件""]","[""我想负责工作流/工具""]",2024-05-23 23:38:11,1.多组织视频课. 2.组建学习交流群。 3.定期飞书分享技术,学习、提高,"[{""id"": ""ou_6ea546172db7c435adbfc203065afaf1"", ""name"": ""F1001""}]"
36,,"[""了解Coze的组件""]","[""我想负责创意""]",2024-05-24 10:38:38,Agent AI是人工智能发展的重要代表,进一步学习agent AI相关知识,"[{""id"": ""ou_0616e807dbe05a18ba0995385b0a086c"", ""name"": ""迪恩""}]"
37,,"[""捏过>=3个bot但不精通""]","[""我想负责工作流/工具""]",2024-05-24 13:06:14,,从创意到agent落地的实践经验,"[{""id"": ""ou_273f53203fd491bb19d0f8f0e5b95ec4"", ""name"": ""史聪莉""}]"
38,,"[""完全小白""]","[""我想负责编程""]",2024-05-24 13:35:33,,"理解Agent, 熟练使用AGENT","[{""id"": ""ou_c04cdfc8091ce91b42cd2c9c91859a97"", ""name"": ""李浩""}]"
39,,"[""捏过<3个bot""]","[""我想负责工作流/工具""]",2024-05-24 14:08:00,,深入学习agent，搭建符合自己要求的bot，赋能副业。,"[{""id"": ""ou_cbe42a8bebb3e6dfdf490ec2daaf463c"", ""name"": ""xiakuai_me""}]"
40,,"[""了解Coze的组件""]","[""我想负责创意""]",2024-05-24 20:02:59,,以战代练，结识共同学习的搭子,"[{""id"": ""ou_feb40b28ea2bebea402c0ad2fb03b2b7"", ""name"": ""王曦春""}]"
41,,"[""捏过<3个bot""]","[""我想负责创意""]",2024-05-24 20:19:34,,学习coze 应用到未来的工作和生活当中,"[{""id"": ""ou_9bf0cceb47bcd5503cbaf2ca44e7a257"", ""name"": ""裘冬杰""}]"
42,,"[""捏过>=3个bot但不精通""]","[""我想负责工作流/工具""]",2024-05-24 20:56:25,,我是AI产品经理（but junior），想要结识志同道合的伙伴。p.s. 意向是往情感陪伴 2C 方向发展~,"[{""id"": ""ou_152acac4778536567d51aff7f1a81fd6"", ""name"": ""王荫萌""}]"
43,,"[""完全小白""]","[""我想负责创意""]",2024-05-24 23:43:40,,方法和思路,"[{""id"": ""ou_4993b03ed04435035481c5da9f20d70e"", ""name"": ""Npc""}]"
44,,"[""捏过<3个bot""]","[""我想负责创意""]",2024-05-24 23:55:10,,以战代练,"[{""id"": ""ou_a4c133e24bd102ecf7e147701500a413"", ""name"": ""黎红""}]"
45,,"[""捏过<3个bot""]","[""我想负责创意""]",2024-05-25 14:19:38,,更高效更准确的捏各种bot,"[{""id"": ""ou_1fd7dfc93171647d048d6118ca9dc93c"", ""name"": ""席一良""}]"
