商品链接（自行填写）,图片1构图信息,图片2卖点信息,图片2信息,图片1卖点信息,图片2（自行上传）,图片2构图信息,父记录,图片1（自行上传）,图片1信息
,图片采用了左右分布的构图方式。左侧展示了三款不同颜色（黑色、浅灰色、浅绿色）的Redmi 14C手机的背面，突出手机外观设计和后置摄像头布局。右侧则以文字和标签的形式，集中展示手机的主要卖点、优惠信息以及到手价格等内容。整体构图简洁明了，视觉上重点突出，便于消费者快速获取产品关键信息。,1. 补贴优惠：小米Note 14参与活动，至高特惠200元；6 + 128G版本政府补贴后到手价891.65元起，政府补贴至高省500元。 2. 便捷服务：选择参加国补产品下单，物流小哥上门送货，现场收货开箱、激活拍照验收。,### 卖点文字信息 1. **补贴优惠**：小米Note 14参与活动，至高特惠200元；6 + 128G版本政府补贴后到手价891.65元起，政府补贴至高省500元 。 2. **便捷服务**：选择参加国补产品下单，物流小哥上门送货，现场收货开箱、激活拍照验收。 3. **活动规则**：补贴金额以选择的产品实际补贴为准；国补商品需用户签收当场完成激活并拍照，如无法当场激活，订单将取消并退款，商品由配送人员取回。 ### 构图方式 图片采用了分区式构图，整体以绿色为主色调，搭配白色背景，显得清新简洁。上方是标题“手机国补上门激活流程”。下方分为三个步骤板块，每个步骤板块都有相应的序号、简短文,"6.88""护眼大屏；至高120Hz沉浸高刷；150%大扬声器；大屏 大音量 耐用好品质；套餐一到手价：548元起；88VIP专享40元，满500元可用，支持使用88VIP消费券，下拉详情领88VIP消费券","[{""file_token"": ""HEN8b02v1oyw4sxuzEqcTwMrnRg"", ""name"": ""image.png"", ""size"": 479343}]",分区式构图，整体以绿色为主色调，搭配白色背景；上方是标题“手机国补上门激活流程”；下方分为三个步骤板块，每个步骤板块都有相应序号、简短文字说明和配图（步骤一左侧配图为小米Note 14手机图片及相关价格优惠信息，步骤二中间配图为物流小哥送货场景插画，步骤三右侧配图为收货开箱激活场景插画）；底部是活动规则文字说明 ,,"[{""file_token"": ""Bp4vbD436oFGa8xWCsNcCJAnnfg"", ""name"": ""10001.jpg"", ""size"": 181000}]","### 卖点文字信息 1. 6.88""护眼大屏 2. 至高120Hz沉浸高刷 3. 150%大扬声器 4. 大屏 大音量 耐用好品质 5. 套餐一到手价：548元起 6. 88VIP专享40元，满500元可用，支持使用88VIP消费券，下拉详情领88VIP消费券 ### 构图方式 图片采用了左右分布的构图方式。左侧展示了三款不同颜色（黑色、浅灰色、浅绿色）的Redmi 14C手机的背面，突出手机外观设计和后置摄像头布局。右侧则以文字和标签的形式，集中展示手机的主要卖点、优惠信息以及到手价格等内容。整体构图简洁明了，视觉上重点突出，便于消费者快速获取产品关键信息。 "
[https://detail.tmall.com/item.htm?id=824473225043&ns=1&pisk=g0WoeH4UN_RW6fzvMt976kZiyOFvHL9BNwHpJpLUgE8jeB8LNwAhJZOFeLIRoe7O-HBRp9fjKGsCeu9LVLsWdpzTWRBhVg9CjBTlb9vV0hxLpYReLL92amZYHReOVimJ4lI4BTE9eAxrTv7eaI-2vE-e4eRzmI-9YpkyTYlquET2Lb8yaiu2vHgyLvRe0n-wAH-e4p-2uEteLe7eLov2lHln4v8GLt64uze9hAj0hOKkZFS,1. **主体展示**：图片左侧展示了三款不同角度的 vivo Y300 Pro 5G 手机，包括手机背面和正面，手机的外观和设计一目了然，吸引消费者目光。 2. **信息分区**：右侧区域以文字和色块形式呈现产品卖点和促销信息，文字信息层次分明，重要信息如电池、屏幕特点等采用黑色字体突出显示；优惠信息用红色、绿色等鲜艳色块标注，视觉上形成对比，方便消费者快速抓取关键内容 。 3. **色彩搭配**：整体采用红白主色调，红色背景和白色背景相结合，红色带来视觉冲击力，白色使画面简洁清晰，突出产品和文字信息。 ,6600mAh超长大电池、一亿像素相机；政府补贴，预估到手价2099元起，补贴500元（8GB+256GB）；物流小哥上门送货；现场收货开箱，激活拍照验收,### 卖点文字信息 1. **购买渠道与产品**：选择参与国补vivo产品下单，在vivo官方旗舰店，以vivo S20为例，具备6600mAh超长大电池、一亿像素相机等特点。 2. **补贴信息**：政府补贴，预估到手价2099元起，补贴500元（8GB+256GB） 。 3. **服务流程** - 物流小哥上门送货。 - 现场收货开箱，激活拍照验收。 4. **活动规则** - 补贴力度：补贴金额以选择的产品实际补贴为准。 - 激活说明：为惠及真实消费者，国补商品需用户签收当场完成激活并拍照；如无法在签收当场完成激活，订单将取消并退款，商品由配送人员取回。 ### 构图方式 采用了分步骤,1. 电池：6500mAh 超薄蓝海电池 2. 屏幕：5000nit 全等深微四曲屏 3. 分期优惠：分期享3期免息 4. 赠品：购机赠 vivo 有线耳机 5. 价格优惠：补贴后预估到手价1155.15元起（8GB + 128GB）；国家补贴至高立减15%；实付满500可用40元券，实付满200可用20元券；88VIP专享下拉详情页领券,"[{""file_token"": ""NqKhbxxf9oMB1VxJYv1c1GWUnV0"", ""name"": ""image.png"", ""size"": 332429}]",分步骤式的排版构图。整体背景为绿色，顶部是“上门激活方案”的大标题。画面主体分为三个步骤，每个步骤用数字标号，并配有相应的图片和文字说明。步骤一左侧是vivo S20手机产品图及产品卖点、补贴信息等文字；步骤二是物流人员送货的插画，表明送货环节；步骤三是收货激活的插画场景。底部是活动规则的文字说明区域。,,"[{""file_token"": ""T2xybv5mtoFIa4xgA9mciX8Pnyb"", ""name"": ""10001 (2).jpg"", ""size"": 40372}]",### 卖点文字信息 1. **电池**：6500mAh 超薄蓝海电池 2. **屏幕**：5000nit 全等深微四曲屏 3. **分期优惠**：分期享3期免息 4. **赠品**：购机赠 vivo 有线耳机 5. **价格优惠**：补贴后预估到手价1155.15元起（8GB + 128GB）；国家补贴至高立减15%；实付满500可用40元券，实付满200可用20元券；88VIP专享下拉详情页领券 ### 构图方式 1. **主体展示**：图片左侧展示了三款不同角度的 vivo Y300 Pro 5G手机，包括手机背面和正面，手机的外观和设计一目了然，吸引消费者目光。 2. **信息分区**
[https://detail.tmall.com/item.htm?abbucket=20&fpChannel=101&fpChannelSig=0a732e44c9668df77015779f58f656dea111cced&id=724978201813&ns=1&pisk=ggs-eLGlJSVkn9SJnTzmxCNdQ120LrXzZ_WsxBAoRsCAdIm3U34ev6dATQYkVQmpv9CFt6BUUpOCO6dhrrqGUT-eA5fLjlXrAiK256LWNIif3pcSVrY7ZTtnU5VgjkUShHF8s_cwJ_DXBdtBFeOBc-pppXOCOei,图片整体采用左右分栏的构图方式。左侧为红色背景的信息栏，白色文字突出显示手机版本、补贴价格、优惠活动等内容。右侧展示了荣耀X50手机的背面和正面外观图，背面展示了两款不同颜色的手机，正面展示了手机屏幕显示效果。图片顶部有“荣耀官方旗舰店”品牌标识，底部绿色区域再次强调国家补贴到手价和补贴政策等信息。,1. 领取国家补贴下单：在荣耀官方旗舰店下单荣耀300可领取国家补贴，国家补贴15%，至高立省500元，下单预估到手价1784.2元。 2. 物流小哥上门送货：由物流人员将商品送至消费者手中。 3. 现场收货开箱，激活拍照验收：消费者需在签收当场完成激活并拍照，若无法当场完成激活，订单将取消并退款，商品由配送人员取回。 4. 补贴力度：补贴金额以选择的产品实际补贴为准。 5. 激活说明：为惠及真实消费者，国家补贴商品需用户签收当场完成激活并拍照。 ,### 卖点文字信息 1. **领取国家补贴下单**：在荣耀官方旗舰店下单荣耀300可领取国家补贴，国家补贴15%，至高立省500元，下单预估到手价1784.2元 。 2. **物流小哥上门送货**：由物流人员将商品送至消费者手中。 3. **现场收货开箱，激活拍照验收** ：消费者需在签收当场完成激活并拍照，若无法当场完成激活，订单将取消并退款，商品由配送人员取回。 4. **补贴力度**：补贴金额以选择的产品实际补贴为准。 5. **激活说明**：为惠及真实消费者，国家补贴商品需用户签收当场完成激活并拍照。 ### 构图方式 图片整体采用了较为规整的分块式构图。背景为绿色，上方居中位置是“,1. 价格与补贴：8GB + 256GB版本国家补贴价1044.7元（原价1599元）；12GB + 256GB版本国家补贴价1189.2元（原价1799元）；国家补贴15%，至高立省500元；国家补贴到手价1044.7元起。 2. 优惠活动：购机享3期免息；满500使用40元优惠券，支持88VIP消费券。 3. 手机配置：5800mAh超耐久长续航 。,"[{""file_token"": ""DRTtbXLzzoXbGExXOz4cx1Tknqe"", ""name"": ""image.png"", ""size"": 417621}]",图片整体采用了较为规整的分块式构图。背景为绿色，上方居中位置是“上门激活方案”的大标题，右上角有“直播讲解”按钮。主体内容分为三个步骤，每个步骤以绿色圆圈加数字序号标识，分别是： 1. 第一步内容区域左侧为荣耀300手机及国家补贴相关海报图，右侧是手机展示图。 2. 第二步以三个物流人员送货的插画形式呈现。 3. 第三步通过一个消费者收货激活的插画展示。 最下方是活动规则板块，以黑色文字详细说明补贴力度和激活说明。,,"[{""file_token"": ""ZZ3ub9J6foiWZaxBJa8cnX2FnPf"", ""name"": ""10001 (3).jpg"", ""size"": 39720}]",### 卖点文字信息 1. **价格与补贴**：8GB + 256GB版本国家补贴价1044.7元（原价1599元）；12GB + 256GB版本国家补贴价1189.2元（原价1799元）；国家补贴15%，至高立省500元；国家补贴到手价1044.7元起。 2. **优惠活动**：购机享3期免息；满500使用40元优惠券，支持88VIP消费券。 3. **手机配置**：5800mAh超耐久长续航 。 ### 构图方式 图片整体采用左右分栏的构图方式。左侧为红色背景的信息栏，白色文字突出显示手机版本、补贴价格、优惠活动等内容。右侧展示了荣耀X50手机的背面和正面外观图，背面展示了两款不同颜色的手
[https://detail.tmall.com/item.htm?abbucket=20&fpChannel=101&fpChannelSig=28a034621c20e42e812d2f1caa9f8de583508ae0&id=861892628976&ns=1&pisk=gN--e8NkJjckDhxRnLu0x1GpQCDDEqvrZQJ_x6fuRIdvdsqnUg0FvBCvT_blV_qdvpdetBpEU91BOBCHrqmMULSFAfAKjcvzAnIV5BQ5di1X39qQPqbSZLs3UfcijD37hMh-sQVNJ22fBOsCFw1CcxBdpWwWOwZ,图片采用左右构图方式。左侧展示三款不同颜色（深色、浅色和银色）以立体形式呈现的一加Ace 5手机，突出产品外观；右侧为文字信息区域，详细列出产品性能特点和各项优惠活动，文字信息通过不同颜色（如红色突出优惠金额等）和排版区分层次，整体布局清晰，左侧产品展示和右侧文字说明形成视觉平衡，重点信息一目了然。 ,1. 第三代骁龙8，口碑神U再进化 2. 风驰游戏内核，芯片级游戏技术 3. 6400mAh冰川电池 4. 第二代1.5K东方屏 5. 天工散热Elite 6. 电竞天线系统,### 卖点文字信息 1. 第三代骁龙8，口碑神U再进化 2. 风驰游戏内核，芯片级游戏技术 3. 6400mAh冰川电池 4. 第二代1.5K东方屏 5. 天工散热Elite 6. 电竞天线系统 ### 构图方式 图片采用了总分式的构图。顶部是总标题“选择一加Ace 5的六大理由”，下方通过六个方格分别展示六大卖点。每个方格内都配有与卖点相关的图片和文字说明，图片多为产品细节、芯片、电池、屏幕等特写以及散热、天线系统等原理示意，文字简洁明了地点出卖点核心内容，整体布局规整，信息展示清晰有条理。 ,- 性能：第三代骁龙 8，风驰游戏内核 - 优惠活动： - 88VIP 消费券叠加政府补贴后至高优惠 540 元 - 至高 6 期免息 - 支持 88VIP 消费券满 500 减 40（下拉详情页兑换） - 指定版本（12GB + 256GB / 16GB + 256GB / 12GB + 512GB 版本，颜色随机）购机赠价值 129 元移动电源 - 价值 3400 元新机权益礼包 - 88VIP 消费券叠加政府补贴后到手价 1920.15 元起 - 政府补贴至高 500 元（仅限部分地区，限量领取，补贴后最终到手价以支付时实际显示为准）,"[{""file_token"": ""FEhFbgilvoDK0bxmkfbc6UYXngd"", ""name"": ""image.png"", ""size"": 329982}]",构图方式：总分式 顶部：总标题“选择一加Ace 5的六大理由” 下方：通过六个方格分别展示六大卖点，每个方格内配有与卖点相关的图片和文字说明，图片多为产品细节、芯片、电池、屏幕等特写以及散热、天线系统等原理示意，文字简洁明了地点出卖点核心内容，整体布局规整，信息展示清晰有条理 ,,"[{""file_token"": ""OjMQbDlXVo9ff4x26FPcbfpKnce"", ""name"": ""10001 (4).jpg"", ""size"": 60308}]",### 卖点文字信息 1. **性能**：第三代骁龙8，风驰游戏内核 2. **优惠活动** - 88VIP消费券叠加政府补贴后至高优惠540元 - 至高6期免息 - 支持88VIP消费券满500减40（下拉详情页兑换） - 指定版本（12GB + 256GB / 16GB + 256GB / 12GB + 512GB版本，颜色随机）购机赠价值129元移动电源 - 价值3400元新机权益礼包 - 88VIP消费券叠加政府补贴后到手价1920.15元起 - 政府补贴至高500元（仅限部分地区，限量领取，补贴后最终到手价以支付时实际显示为准） ### 构图方式 图片采用左右构图方式。左侧展示了三款
[https://detail.tmall.com/item.htm?abbucket=20&id=779815076690&ns=1&pisk=gkqIe0jUFBABHYoJF2XZCf3XwBmWCO7N06J7n-hyYUnL1bh_H9cFrwV757Fi8XhFK0g8wWFSr9crwbNzeyWN0iy3K0m8NsSV03UiX1PIe4HRefHnHOkpOGohp0mRg_Tw22jjqSjmFSKJWAhiFYK-J73t6xDr2YHK2OGtFxYJ97FRChH-FbdKJXdOCxHDpQ3KpRdthxJKw7nRCRhie0HLw0h3BKM5RX2Cp8Y,1. **主体展示**：图片左侧为三款不同角度的iQOO Z9手机，正面、背面和侧面形态清晰呈现，作为视觉中心，直观展示产品外观。 2. **文字信息分布**：右侧区域主要为产品核心卖点和促销信息，以黑色、黄色等字体突出关键内容，与手机主体形成对比，方便用户快速获取重要信息。 3. **色彩搭配**：背景为白色，上方有红色条带标注“新势门周 | iQOO” ，下方有红色、绿色条带分别展示价格和补贴信息，色彩鲜明，吸引注意力。整体构图简洁明了，重点突出，将产品展示与营销信息有效结合。 ,1. 选择参与国补iQOO产品下单，如iQOO 13具有骁龙8 Gen3、2K 144Hz屏幕、6100mAh超充电池等配置；国家补贴，预估到手价3999元起，补贴500元。 2. 物流小哥上门送货。 3. 现场收货开箱，激活拍照验收。 ,### 卖点文字信息 1. **选择参与国补iQOO产品下单**：在iQOO官方旗舰店下单，以iQOO 13为例，具有骁龙8 Gen3、2K 144Hz屏幕、6100mAh超充电池等配置；国家补贴，预估到手价3999元起，补贴500元。 2. **物流小哥上门送货**：提供上门送货服务。 3. **现场收货开箱，激活拍照验收** ：需在签收当场完成激活并拍照。 4. **活动规则**：补贴金额以选择的产品实际补贴为准；为国补商品需用户签收当场完成激活并拍照，如无法在签收当场完成激活，订单将取消并退款，商品由配送人员取回。 ### 构图方式 图片整体采用了左右分栏与上下分区结合的构图方式，以绿色,1. 处理器：第三代骁龙7 2. 电池：6000mAh超薄蓝海电池 3. 屏幕：1.5K 144Hz护眼屏 4. 活动：晒单抽会员积分 5. 优惠券：满500减40，满200减20 ，88VIP专享，下拉详情页领券 6. 价格与补贴：国家补贴预估到手价1155.15元起（8GB + 128GB），国家补贴至高15%，下拉领取，下拉详情查看具体政府补贴地区,"[{""file_token"": ""Tk4gbfvDRoP9UyxcMf6c8XUCnAg"", ""name"": ""image.png"", ""size"": 336130}]",图片整体采用了左右分栏与上下分区结合的构图方式；上方是标题“上门激活方案”，右上角有“直播讲解”图标；下方分为三个步骤，每个步骤有相应的图片和文字说明：步骤1左侧为iQOO手机产品图及产品配置、价格、补贴信息；步骤2右侧为物流小哥送货的插画，展示送货场景；步骤3下方为现场收货激活的插画，呈现开箱激活动作；最下方是活动规则说明，以黑色文字呈现。 ,,"[{""file_token"": ""OFJQbPWKGofyhOxygm4c2d8zneb"", ""name"": ""10001 (1).jpg"", ""size"": 46644}]",### 卖点文字信息 1. **处理器**：第三代骁龙7 2. **电池**：6000mAh 超薄蓝海电池 3. **屏幕**：1.5K 144Hz 护眼屏 4. **活动**：晒单抽会员积分 5. **优惠券**：满500减40，满200减20 ，88VIP专享，下拉详情页领券 6. **价格与补贴**：国家补贴预估到手价1155.15元起（8GB + 128GB），国家补贴至高15%，下拉领取，下拉详情查看具体政府补贴地区 ### 构图方式 1. **主体展示**：图片左侧为三款不同角度的iQOO Z9手机，正面、背面和侧面形态清晰呈现，作为视觉中心，直观展示产品外观。 2. **文字信息
[https://detail.tmall.com/item.htm?spm=a2113w.29834257.2733604710.1.38b797d3e5CskW&id=563068200649&scm=1007.10302.274556.453155_0_0&utparam=%7B%22floorId%22%3A42050445%2C%22recIndex%22%3A1%2C%22x_object_type%22%3A%22item%22%2C%22pvid%22%3A%22e8f3fba1-4258-4456-88e6-e9ef11805a47%22%2C%22x_item_ids%22,图片采用了左右对比的构图方式。左侧展示银色款19款MacBook Pro 16寸笔记本电脑，右侧展示深空灰款同型号笔记本电脑。两款电脑均为开盖状态，展示屏幕和键盘等部分。下方以文字形式分别介绍了显示屏和充电及外设扩展的相关卖点信息，文字与对应的电脑颜色上下呼应。 ,,,19款MacBook Pro 16寸；银色、深空灰；视网膜显示屏；16英寸（对角线）LED背光显示屏（采用IPS技术）；初始分辨率3072 x 1920（226 ppi）；支持上千万色彩；四个雷雳3（USB - C）端口，均可支持充电、DisplayPort、雷雳（速率最高可达40Gb/s）、USB 3.1第二代（速率最高可达10Gb/s）,,,,"[{""file_token"": ""Ntg1bdXV0o7fBJxD5bccIMWenpb"", ""name"": ""Snipaste_2025-03-30_22-26-16.jpg"", ""size"": 62696}]",### 卖点文字信息 1. **型号与尺寸**：19款MacBook Pro 16寸 2. **颜色**：银色、深空灰 3. **显示屏**： - 视网膜显示屏 - 16英寸（对角线）LED背光显示屏（采用IPS技术） - 初始分辨率3072 x 1920（226 ppi） - 支持上千万色彩 4. **充电和外设扩展**： - 四个雷雳3（USB - C）端口，均可支持： - 充电 - DisplayPort - 雷雳（速率最高可达40Gb/s） - USB 3.1第二代（速率最高可达10Gb/s） ### 构图方式 图片采用了左右对比的构图方式。左侧展示银色款19款MacBook Pro 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
