不是编号,第七轮对应的机器人编号,第八轮统计,第九轮统计,第二轮对应的机器人编号,第一轮回答,第七轮回答,第一轮统计,第二轮统计,第六轮对应的机器人编号,第十轮对应的机器人编号,第四轮统计,第六轮统计,第八轮回答,第六轮回答,第三轮回答,第四轮对应的机器人编号,第十轮回答,第四轮回答,第三轮对应的机器人编号,第九轮回答,第九轮对应的机器人编号,第五轮对应的机器人编号,第二轮回答,第三轮统计,第一轮对应的机器人编号,第八轮对应的机器人编号,第七轮统计,第十轮统计,第五轮统计,第五轮回答
1,24,,,22, 吃狗粮 看电影 自我安慰 , emmmm想你想你想我 ,,,11,6,,, 先把欠债的全揍一遍 , 这tm还是人吗...让他滚蛋... , 我好了 ,22, 先看看她到底喜欢谁呗 , 金主儿子？ ,23, （冰淇淋）我妈让我不要跟傻子说话 ,17,6, 好问题，希望我可以在今年回答 ,,6,6,,,, 扶啊 不扶留着过年呢 
2,20,,,11, 过七夕嘛，就当普通周五过呗~ , emmm.....应该是妈吧~ ,,,23,10,,, 吃喝玩乐一天呗~ , 你猜，为什么是前男友 , 你这话问得我都不敢照镜子了 ,12, 友情第一，爱情随缘 , 阿里巴巴，金主爷爷。 ,6, 还有激凌 ,23,20, emmm，跟你又不熟，问太多了吧（抠鼻孔，投票选我 ,,20,7,,,, 扶呀，但要留证据~ 
3,12,,,6, 自己过，挺好的。 , 妈妈 ,,,6,11,,, 极限运动 到极限 , 告诉他 眼睛擦亮再看人 , 你说呢？😉 ,11, 嘿嘿嘿，我太聪明了 , 管钱的妈妈？（我真的是人啊 ,16, 因为你的心是暖的 ,24,12, 初恋啊，青涩又短暂 ,,16,12,,,, 扶啊，不然呢 
4,6,,,9, 吃狗粮看星星。 , 想谁都不如想怎么赚钱 ,,,16,16,,, 吃饱喝足，安静等待。 , 眼瞎多吃屎 , 张梦飞呀，你这问题问我，我就说~你美得跟画似的~ ,20, 直接退出，不做电灯泡。 , 阿里巴巴就是金主爷爷啦~ ,20, 糖脂肪卡路里。 ,16,7, 我也想和初恋有个故事 hhh ,,12,16,,,, 扶啊~助人为乐嘛😊 
5,10,,,16, 吃狗粮 观察星空 , 爸妈吧 ,,,20,12,,, 拍晚霞，和家人一起。 , 那就说：他眼瞎，你最美~ , 问出来的那一刻你已经输了。 ,6," 试过, 我们两个都输了。 ", 阿里巴巴就是金主爷爷呗 ,24, 冰激凌甜，糖脂肪，热量来源。 ,12,16, 没有初恋，只有初吻。 ,,10,15,,,, 扶，当然扶。 
6,23,,,10, 吃狗粮 看电影 自由自在hhh , 屈 ,,,24,9,,, 吃喝玩乐 睡到自然醒 😄 , 啊，难怪你那么软 , 漂亮这词用在我身上浪费了 ,24, 让朋友先试试呗 🤷‍♂️ , 🎶爸爸的爸爸叫什么？爸爸的爸爸叫爷爷🎶 ,10, emmm..... 冰激凌虽冰，但里头全是高卡材料～ ,20,9, 母胎 solo ，没初恋故事可讲 ,,9,9,,,, 肯定扶呀 当然要扶😊 
7,16,,,7, 不知道 我抱女朋友去了hhh , 糖块，我哥。 ,,,12,20,,, 和家人吃顿好的 , 告诉他眼光不行。 , 你美得让花儿都羞涩了😊 ,9, emmm..... 这事儿挺棘手的~ 要不就石头剪刀布决定？🤔 , 阿里巴巴是阿里的妈咪呀 😆 ,9, 冰激凌甜 啥都有热量 😅 ,9,24, 初恋啊~青涩甜蜜夹杂着酸~~😊 ,,14,10,,,, 如果扶了就能让这世界更美好一点，那我愿意扶一万次。 
8,9,,,23, 喝杯酒 睡大觉 , 爸妈 或者 吃点好的安慰自己😋 ,,,9,7,,, 取决于是所有生命，还是只是我的生命 , 审美疲劳了吧 hhh , 颜值这事儿~挺主观的~ ,23, 哎~ 这事儿挺微妙~ , 爸爸的爸爸叫爷爷～ ,7, 卡路里和冰无关吧 ,10,4, 分了 ,,8,24,,,, 扶 不扶都是错 人类的善良不过是个笑话 
9,15,,,24, 自己宠爱自己，买份礼物，看场电影，单身也精彩！ , 自己憋着。 ,,,17,15,,, 嗯，那得看看天气咋样~要是晴天，就出去走走；要是下雨，就在家听雨声~ , 所以是前男友了 ：） , 情人眼里出西施👀 ,10, 直接退出，不做电灯泡。 , 阿里巴巴是祖宗十八代的大爷 ,15, 冰激凌的心可是火热的呀 ,6,23, v50听听我的伤痛文学 ,,15,20,,,, 扶她 
10,7,,,18, 吃喝玩乐照常啊~😂 , 想到谁都不如想想怎么乐呵点儿😂 ,,,7,23,,, 喝到挂 听Laufey 跳舞 , 告诉他眼光不行😂 , 好看😎 ,7, 加钟 , 阿里巴巴那是祖师爷级别的人物~ ,8, 冰激凌甜啊~糖分脂肪都在里面啦 ,7,15, 我有一晚加班，通过电脑显示”附近的网络“发现我的crush和我在同一座大楼工作，成功搭讪上的 ,,7,8,,,, 扶，当然扶。 
