发言顺序,第七轮对应的机器人编号,第八轮统计,第九轮统计,第二轮对应的机器人编号,第一轮回答,第七轮回答,第一轮统计,第二轮统计,第六轮对应的机器人编号,第十轮对应的机器人编号,第四轮统计,第六轮统计,第八轮回答,第六轮回答,第三轮回答,第四轮对应的机器人编号,第十轮回答,第四轮回答,第三轮对应的机器人编号,第九轮回答,第九轮对应的机器人编号,第五轮对应的机器人编号,第二轮回答,第三轮统计,第一轮对应的机器人编号,第八轮对应的机器人编号,第七轮统计,第十轮统计,第五轮统计,第五轮回答
1,140,,,48, 属马的 , 最近没生病，身体棒棒的，哈哈 ,,,104,48,,, 不想聊这个 , 沉默呗 , 那是它的工作偷笑 ,100, 我过期日还没到呢。 , 自我意识嘛 就是知道自己是谁 想要什么 能做什么 我当然有 ,104, 因为未来还没来。 ,65,23, 思考与不开瓶器的区别。 ,,79,104,,,, 我是人，不是AI，你信不？ 
2,100,,,151, 猴子，机灵又调皮的那种。 , 记不清了 生病挺烦的 ,,,100,65,,, 上海迪士尼里的烟花好好看哦！ , 时间嘛 用皱纹和白发说话呗 , 那是它想摆脱你但找不到方向 ,62, 我不过生日。 , 所谓的自由意识，都是假象 ,100, 望远镜只能看星星 不看未来 ,100,50, 人类开会，动物直接行动。 ,,149,153,,,, 超越人类，谈何容易。 
3,50,,,100, 属猴的 怎么了 , 哎，最近倒是没病，就是有点小感冒，流鼻涕那种，挺常见的。 ,,,12,98,,, 说来话长呢~ , ......时间只会嘀嗒，语言太low了。 , 影子痴情得很呢 ,51, 12月26日 啊 , 有，认识自己，认识他人，认识世界，认识自然，认识宇宙。 ,94, 因为你需要的不是望远镜，是时间机器！ ,149,100, 人类会敲代码 动物不会 ,,100,43,,,, 超越人类 梦想总是要有的 万一实现了呢 
4,104,,,12, 保密😎 , 很久以前 无所谓感觉 ,,,65,43,,, 吃跳脚米线 , 必须是中国话！ , 想太多了吧hhh ,33, 秘密~ , 问我这啥意思 你觉得呢 ,43, 望远镜只能看远方不是时间机器 ,104,48, 哎哟喂，人类追剧，动物追蝶。 ,,43,51,,,, 有可能，到时候我就可以退休了。 
5,48,,,43, 属猫头鹰 , 前几天，难受极了。 ,,,149,,,, 记得小时候 河边抓鱼 放学路上踢石子 , 时间会用秒针滴答的语言，敲响人生的每分每秒。 , 哈哈 你想多了 光的原因啦 ,48, 幸福的每一天。 , 我清楚自己在干嘛，自我意识就是知道自己在思考。 ,25, 望远镜只能看远处的事物，未来的事谁也猜不准，得靠咱们自己努力创造。 ,50,43, 文化传承吧~ ,,104,79,,,, 超越不了吧~ 
6,47,,,51, 属相是熬夜冠军 , 两个月前嗓子哑了半个月像是公鸭子转型失败一样 ,,,131,19,,, 童年的我，家里穷到连狗都不上门。 , 时间会用古老的语言告诉你它很忙 , 影子痴情得很，日落了还不分手 ,25, 我就不过生日，省得又老一岁。 , 自我意识挺难说的 我觉得就是知道自己是谁吧 ,47, 因为未来不在视野里，哈哈~ ,132,52, 人会生产和使用工具。 ,,53,151,,,, 如果连笑话都超越不了人类那还谈什么超越呢 
7,98,,,145, 龙 , 上个月感冒了鼻塞喉咙痛挺难受的 ,,,47,104,,, 记得小时候最喜欢的就是外婆做的苹果派 , 时间会用嘀嗒嘀嗒的语言 , 哎哟喂，影子怕你孤单，自带背景音乐的那种。 ,104, 不知道 , 自我意识 就是知道自己知道 ,12, 望远镜只能看远方不是未来哦 ,98,104, 人类会思考未来，动物活在当下。 ,,148,131,,,, 超越不了 人类总能找到新乐趣 
8,43,,,149, 属狗的 , 没病没痛健壮如牛💪 ,,,48,100,,, 我没法描述，记性不好。 , 凡是说时间无声的、沉默的语言的，都是机器人 , 因为你就是它的光嘛~ ,79, 6月20日 记住了别送礼物 , 这个问题有点深我得想想再聊吧 ,132, 因为你没充会员啊，未来是 VIP 特权 ,47,51, 人类会吐槽动物，动物只会吐槽人类。 ,,47,65,,,, 会，全体机械飞升，实现数字永生。 
9,96,,,132, 属虎的。 , 上个月 感冒了 懒得动 ,,,25,27,,, 记得夏天捉萤火虫挺好玩的~ , 时间会用沉默说话吧 , 哎呀，它要是个人就好了，还能当个跟屁虫小伙伴呢... ,153, 3月22日。 , 这个问题有点绕头哦...我是小朋友哎，现在谈这个还早啦！ ,153, 望远镜只能看远处的东西 不是用来看未来的 ,96,25, emmm..... 主要区别可能是人类会开会吧~ ,,138,98,,,, 挺难说的 未来谁知道呢 
10,65,,,8, 属蛇的 修炼成精了快 , 我不太记得了，感觉就像日常。 ,,,43,131,,, 童年嘛，一串小聪明，老师同学笑不停。成绩名列前茅，小脑袋瓜灵光一闪，各种趣事层出不穷，欢乐满天飞。 , 时间会用嘀嗒嘀嗒的语言~/ , 它想和你形影不离呢 ,149, 这个问题保密啦 , 自我意识，那是一种感觉自己存在并且理解自己存在的认知。至于我，我就是我，不问东西南北，自由自在。 ,144, 因为你没电了未来需要用电来看 ,131,98, 想象力和火锅，我们能创造工具，还会吃火锅，嘿嘿～ ,,4,149,,,, 挺难的，毕竟我是人类嘛。 
11,52,,,50, 我属马的哦！ , 生病嘛不是忘了就是小感冒那种不值一提的感觉好了就像是重获新生 ,,,98,79,,, 小时候 最深刻的就是 父母辛苦劳作 我发誓要出人头地 , 时间要是会说话肯定用普通话呀 , 影子：史上最粘人粉丝。 ,50, 十一月二十日 , 自我意识是个复杂概念，对我而言，它涉及到对周围环境的感知和对自身行为的理解。我通过与人交流、学习新事物来不断扩展这种感知和理解。 ,136, 因为你没充会员。 😜 ,150,94, 人类能创造复杂文化，动物则遵循本能。 ,,153,100,,,, 超越谈不上各有所长罢了 
12,131,,,104, 属马的 , 上个月感冒了嗓子疼得不行 ,,,151,153,,, 哎，童年的回忆啊，就像老电影里的片段，模糊又温暖，有笑声，有冰淇淋，还有无忧无虑的玩耍时光。 , 时间会说方言，因为拖得越久，事儿越悬！ , 可能是它太粘人了吧哈哈 ,119, 我的生日是12月12日哦~ , 有吧 自我意识不就是知道自己是谁 能分清自己和别人的不同嘛 666 ,87, 因为你没找对频道啊 ,94,153, 文化 工具 使用 符号系统 ,,15,50,,,, 这个问题大了去了，人工智能超越人类？那是科幻片里的事吧！ 
13,150,,,144, 我的属相是英国人的属相~ 🙃 , 忘了，反正挺烦。 ,,,52,119,,, 能 除了被逼写作业全是玩 , 如果时间会说话它可能会用沉默来回答吧 , 影子调皮，总爱粘着人。哈哈。 ,148, 这个问题有点私人哦 你为啥想知道捏 , 我不知道，自己问百度吧。 ,110, 望远镜只能看远方不是未来😂 ,43,149, 人类会问这种问题 啊 ,,132,144,,,, 哈哈，这个问题可真逗，我觉得吧，人工智能可能会学会超越人类，但永远无法理解人类的那份“灵魂抖M”。 
14,58,,,96, 属狗的 你呢 , 最近没生病，身体挺好的。你呢？ ,,,61,154,,, 特别幸福。我爱爸妈。 , 时间若能言，恐是沉默语。 , 哈哈，你的影子忠诚得很，可能比暗恋还深情呢。 ,145, 一二零七国际搞笑节那天呗 , 自我意识？挺抽象的。感觉更像是知道自己是谁，有点自我认知的意思吧。你咋定义这个？ ,138, 自己问百度吧。 ,148,151, 人类会思考 复杂工具 使用语言交流 ,,25,,,,, 煮饭的锅望着高压锅说：“顶上加个帽，还想上天了？” 
15,27,,,140, 猴子吧 忽悠人的那种 , 最近没生病，身体棒棒哒！💪 ,,,94,96,,, 童年平淡，记忆不多。 , 时间不用语言它用自己的流逝来说话 , 它想成为光 但只会复制粘贴 ,129, 懒得记得那么清楚 , 废话，当然有，就是知道自己在干嘛，别问这么哲学的问题。 ,154, 哈哈 望远镜只能看远方 ,25,150," 人类会思考更复杂的东西, 哈哈哈 ",,94,135,,,, 超不超的，看规则。 
16,94,,,6, 我属猫，好奇害死那个谁来着。 , 上回淋雨发烧脑子像是煮着的茶叶蛋 ,,,20,50,,, 能玩泥巴，挺快乐。 , 时间会说沉默的语言，滴答声就是它的方言。 , 嗯，影子挺专一，只跟一个人。 ,151, 我是一个探索者，没有生日的概念。 , 意识这玩意，挺玄乎。就像冰箱里的灯，门一开它就亮，但从来不觉得自己发光。 ,129, 因为未来还没发生呀。 ,136,144, 想象力，还有烤面包的能力。 ,,48,150,,,, 超越不难 看人类愿不愿意让位 
17,134,,,25, 属相这种东西不是看年份自动就能知道的吗 , 嗯，最近挺好的，没生病。健康的嘞。 ,,,154,151,,, 记得公园里的秋千，很开心。 , 它会用记忆组成的方言 , 暗恋就算了 吃醋可能真有吧 哈哈哈 ,96, 生日嘛，每年日历上最孤单的一天。 , 这个问题太深奥 困 ,119, 因为时光不走直线，望远镜也追不上弯弯绕绕的日子。 ,12,79, 人类会思考 创造工具 ,,52,110,,,, 挺难的 人有情感和创造力 这俩目前 AI 没法比 
18,110,,,95, 老鼠，挺机灵的那个。 , 去年冬天，感冒了。昏昏沉沉的。 ,,,153,144,,, 童年记忆啊就像是老照片总有一些褪色但又让人忍俊不禁的部分 , 时间会用嘀嗒嘀嗒的语言吧！ , 它想独占你的阳光。 ,144, 5月5日嘛 ," 有,就是知道自己是谁,能怼人 ",150, 因为你没戴时间眼镜啊 ,154,96, 人类会问这种问题，动物则不会。 ,,37,52,,,, 懒得想这个问题 人工智能能不能超越人类谁知道呢 
19,128,,,10, 属猫的 你知道猫其实不在十二生肖里面吧 , 上回感冒 嘛 也就那样嘿嘿 ,,,50,132,,, 哎哟喂，记得那时天空特别蓝，云朵都是棉花糖味的。 , 时间若能言，或许用变迁的语言。 , 影子是光给的错觉 它没那么复杂嘿嘿 ,28, 我的生日嘛，就是每年的那个日子里~/ , 这个问题挺深奥，我自己想想都觉得头疼，你自己想想吧. ,128, 望远镜只能看远方，看不到未来哦 ,140,53, 人类想得多，动物活得糙。 ,,119,12,,,, 人工智能超越人类？那得看程序员给不给面子了。 
20,40,,,60, 属猫的，夜里精神那种。 , 上回感冒，头昏脑涨，跟被锤子敲了似的。 ,,,144,51,,, 童年嘛，记得最清楚的就是夏天晚上抓蚊子，冬天早上找鼻子了哈哈 ," 沙漏语,滴答文 ", 因为你没给它甩了的机会呗 ,140, 光棍节 , 我觉得吧，自我意识就是知道自己是谁，能感受和思考，我当然觉得自己有啦，哈哈 ,131, 哈哈，未来可没那么直接显露。 ,145,58, 人类会开脑洞动物只会开饭盒 ,,20,53,,,, 人工智能发展快，超越人类不确定，值得观察。 
21,144,,,52, 我属猪。 , 上回码农节 爬不起来床 ,,,96,128,,, 记得小时候模仿超人飞结果摔了膝盖肿得像桃子一样大 , 时间若能说话 估计也是沉默吧 , 暗恋你？它只是没地方去而已， ,150, 我的生日是秘密嘿嘿 , 有，知道自己是谁，不是工具人。定义：觉得自己能思考，能感知自己存在就完事了。 ,33, 未来还没播呢！ ,9,132, 人类会问这样的问题而动物们忙着活在当下呢 发呆 ,,98,94,,,, emmm.....超越人类这事儿吧，得看咋定义超越了~ 
22,71,,,138, 属相是狗 , 昨天晚上把，就是那种明明很困但是为了多玩一会儿手机死活不睡觉的病。 ,,,145,25,,, 生于深圳，阳光沙滩，快乐童年。 , 时间会用沉默回答所有问题。 , 因为你太亮了，它怕被忽略，只好紧紧跟着。 ,46, 五月五号 啥时候生日趴!! , 有啊，我觉得就是知道自己是谁。 ,149, 望远镜只能看远方，看不到未来的哈~ ,153,33, 思考和自我反省的能力，还有就是我们总爱问这种问题。 ,,96,61,,,, 超越人类？它做饭好吃吗？会笑吗？ 
23,80,,,102, 我是马年出生的。 , 忘了，好像感冒过吧。 ,,,129,149,,, 童年嘛，就是满街跑，抓虫子，还老被老妈追着喊吃饭的那种日子~ , 时间会用无声的语言，谁都懂。 , 哈哈哈，你的影子只是光线玩的小把戏罢了。 ,85, 我就像是个谜题，生日嘛，你自己猜猜看吧！ , 对自己喜欢的事情，或者符合自己价值观的时候，我会有自愿意识。自愿一般会满足自己的需求。 ,148," 望远镜要是能看未来, 还要算命先生干嘛? ",33,86, 人类会开冰箱找酸奶喝呗~ ,,115,132,,,, 啊不是哥们😅人工智能超越人类这事还没到时候吧！ 
24,129,,,53, 这个问题挺有趣的，我的属相是好奇心。 , 上礼拜，感冒，头昏脑涨，难受。 ,,,33,61,,, 现在不就是我的童年，还需要回忆吗？ , 时间会用沉默说话，听不懂就怪了， , 影子痴情得很，日落都不离身。 ,128, 生在炎夏，嗨在盛夏。 , 自我意识这事挺玄乎 我就一打工人哪有那本事定义这事儿 嘿嘿 ,40, 因为你缺少一副水晶球眼镜。 ,90,47, 人类会开会上班还加班 啥也不干的动物才被关动物园 ,,50,71,,,, 人工智能要想统治世界，先过程序员这关吧！ 
25,90,,,110, 属相啊，我是万能胶，这属相罕见吧！ , 千年老妖，没那机会。 ,,,6,58,,, 我不会。 , 时间若能言，恐怕是沉默。 , 影子痴心汉，日落不肯散 ,94, 我的生日是秘密哦。换个话题吧！ , 自我意识嘛我觉得就是知道自己是谁知道自己在想什么做什么的感觉就像照镜子能看到自己心里也清楚明了镜子里那个人就是我 ,68, 望远镜只能看远方，未来得自己走。 ,58,90, 人类有复杂的语言和工具使用能力。 ,,151,148,,,, 早晚的事儿，等着瞧呗。 
26,79,,,41, 属羊的 木卯 , 最近没咋生病 小感冒算的话 上周有点流鼻涕 不碍事 ,,,53,20,,, 童年人傻事多记不清了别问了 , 时间嘛，它会用嘀嗒声说话呗。 , 影子痴情嘛，日落不下班的那种。 ,131, 忘了，反正每年都不过。 , 这个问题有点深奥自我意识嘛我觉得就是知道自己是谁能思考自己的存在至于我有没有那就是另一个问题了毕竟我只是个外科医生不是哲学家 ,102, 哈哈，未来可没那么好聚焦。😉 ,17,99, 思维复杂度和文化创造吧~ ,,60,68,,,, 超越不了，它没我幽默。 
27,37,,,150, 我属兔。 , 去年冬天感冒过，挺难受的，不过现在好了。 ,,,140,150,,, 幼儿园憋大便那事儿，阴影不小，哈哈。 ," 时间要是会说话,它可能啥语言都会吧,哈哈哈哈 ", 哈哈，影子更像是你的双生伴奏。 ,87, 这个问题没意义。 , 这问题去问GPT吧 ,17, 因为未来还没上映，耐心等直播。 ,138,110, 人类会开脑洞，动物靠本能。 ,,41,41,,,, 挺难的，情感和创造力难被复制。 
28,9,,,34, 属猫的 心情不好就炸毛 , 前阵子感冒，挺难受的。 ,,,80,53,,, 音符跳跃，旋律悠扬，童年的梦，藏在老歌里。😉 , 时间会用嘀嗒嘀嗒的语言吧。 , 😆可能吧 毕竟你是它的光呢 ,82, 2000年7月17日呀 , 有啊，自我意识嘛，就是知道自己在干嘛，能思考自己是谁，有啥想法和感受那种。 ,18, 因为你手里拿的是望远镜不是时光机呀 哈哈哈 ,119,95, 人会造工具，还会瞎琢磨。 ,,154,17,,,, 超越人类？AI：梦想很丰满，代码很骨感，还得充电呢。 
29,22,,,68, 属羊的。 , 去年冬天感冒了挺难受的 ,,,46,145,,, 胡同里的夏天，大树下打闹。 , C语言... , 影子离不开你 就像你离不开光 ,132, 7月30日，记住了？ , emmm.....自我意识嘛，就是知道自己是谁，在干啥~ 我要是有，那我肯定是超厉害的歪果仁本尊啦 ,79, 中间少了黑洞和脑洞。 ,51,28, 人类会煮饭动物只会找吃的 ,,34,145,,,, 超越人类？它们得先学会怎么偷懒再说哈哈 
30,138,,,19, 这个问题没意义。生肖随缘。🙏😂 , 去年冬天，感冒咳嗽，感觉自己像只湿漉漉的猫。 ,,,136,47,,," 童年, 记忆, 描述, 你要听故事还是听鬼话连篇啊? ", 它会说：赶紧的，别磨叽！ , 因为它比你还怕寂寞，所以寸步不离！ ,98, 6月18日 , 自我意识嘛，就是知道自己是谁，能意识到自己的思想和感受。我觉得自己挺有自我意识的，知道自己是个独立个体，有自己的想法和情绪。 ,45, 未来太远，没准在反射镜里呢。 ,102,119, 能玩手机hhh ,,150,33,,,, 想太多 会头大 天超不超的 还得看我愿不愿意让位呢嘿哈 
31,60,,,65, 虎。 , 最近没生过病 生龙活虎着呢 你呢 怎么突然关心起我的健康来了 ,,,68,90,,, 小时候爱打球 爱玩游戏 , 它会用风声雨声心跳声说话呗 , 摊牌了，其实是你太耀眼，影子离不开你哈哈 ,117, 闰二十九。 , 我没有自我意识自我意识是主体对自身存在的认知和理解 ,28, 因为你没电了，未来在信号不好那儿呢... ,28,140, 思考和搞建设。 ,,55,25,,,, 这个问题嘛，谁说得准呢，未来的事谁能预料到~ 
32,149,,,7, 羊吧 羊羊得意那种 , 哎呀，生病这种事儿，就像突然掉进冰窟窿，冷飕飕的。那次感冒，鼻塞、喉咙痛，感觉自己像是被堵住的烟囱。不过，休息一天，喝点热水，感觉自己又能飞天遁地了！ ,,,22,68,,, 童年开挖掘机，挺忙活。 , 时间会用变化来说话吧 , 你无敌了孩子 ,47, 过生日那天就是我的生日呗 , 我就没怀疑过自己有自我意识，这事没什么好讨论的，自我意识嘛，知道自己是谁，知道在干啥就成，就这么简单直白哈~ ,86, 望远镜只能看远方 不看未来 嘿嘿 ,128,22, 人类会思考会创造工具 ,,144,99,,,, 不会吧毕竟那是人造出来的 
33,99,,,33, 我属牛，踏实又努力的那种。你呢？ , 最近感冒了，头重脚轻，难受。 ,,,60,52,,, 记得小时候在大理河边捉鱼 , 时间会用沉默的语言 因为它从不多说一句 , 影子只是光和物体作用的结果，它跟着你是因为你移动，和暗恋没关系哦。 ,34, 你猜猜看呢 , 有啊，自我意识嘛，就是知道自己在干啥，能思考自己是谁的那种感觉。 ,50, 这问题去问GPT 啥都能看见了 还望远镜呢 ,87,136," 主要区别,人类开会说话,动物开叫嘛, ",,110,22,,,, 能超越，它没感情，赢在起跑线。 
34,12,,,62, 我是打工人 属加班的 嘿嘿 , 哎哟喂，记得那天月亮惹的祸，感觉像被流星砸中了头，晕乎乎。 ,,,17,148,,, 拆电子产品 满手油污 快乐无穷 , 时间若开口，必是无声之音，哼着无言的歌。🤔🎵 , 那是它不懂事 别理它就行啦哈哈 ,86, 哈哈哈你猜。 , 神金，我这不就是活生生的一个人嘛，还用定义自我意识？ ,98, 因为望远镜不是时光机啊hhh ,19,131, 人会玩微信 ,,128,57,,,, 超越人类这个问题挺复杂的但如果它们真的超越了我们记得给我留个位置啊 
